,,,,,,EXTINTORES DE PLANTA,,,,,,,,,,,,,,,,
,Orden,LOTE,RESPONSABLE,EDIFICO,UBICACIÓN,TIPO,CLASE,CAP.,VTO DE CARGA,VTO PH,BALIZA,CARTEL EN ALTURA,DEMARCACIÓN DE PISO,NRO INTERNO,NRO FABRICACIÓN,AÑO,MARCA,ESTADO,RESERVA,ORIGEN RESERVA,VENCIMIENTO DE LA RESERVA,EMPRESA DE MANTENIMIENTO
,443,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,10 Kg,12/2020,12/2022,,,,980,186889,2017,Melisam,En planta,,#N/A,#N/A,Cassaro
,444,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,10 Kg,12/2020,12/2022,,,,981,186649,2017,Melisam,En planta,,#N/A,#N/A,Cassaro
,445,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,5 Kg,9/2020,9/2023,,,,986,657406,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,446,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,5 Kg,10/2020,10/2023,,,,987,657188,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,447,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,5 Kg,9/2020,9/2023,,,,988,657213,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,448,LOTE 98,,Montaje,Ex Uno - Duna,POLVO,ABC,5 Kg,9/2020,9/2023,,,,989,669482,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,449,LOTE 98,,Montaje,Galpon Ex Denso,POLVO,ABC,5 Kg,10/2020,10/2023,,,,991,669402,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,450,LOTE 98,,Montaje,Galpon Ex Denso,POLVO,ABC,5 Kg,10/2020,10/2023,,,,992,657140,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,451,LOTE 98,,Montaje,Galpon Ex Denso,POLVO,ABC,5 Kg,9/2020,9/2023,,,,993,669473,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,452,LOTE 98,,Montaje,Galpon Ex Denso,POLVO,ABC,5 Kg,10/2020,10/2023,,,,994,657205,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,453,LOTE 98,,Montaje,Galpon Ex Denso,POLVO,ABC,5 Kg,10/2020,10/2023,,,,995,656818,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,454,LOTE 98,,Montaje,Galpon Ex Denso,POLVO,ABC,5 Kg,10/2020,10/2023,,,,996,669269,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,455,LOTE 98,,Montaje,Galpon Ex Denso,POLVO,ABC,5 Kg,6/2021,6/2023,,,,997,673002,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,456,LOTE 98,,Montaje,Galpon Ex Denso,CO2,BC,3.5 Kg,3/2021,3/2025,,,,998,2190,2018,Horizonte,En planta,,#N/A,#N/A,Cassaro
,457,LOTE 98,,Montaje,Deposito de combustibles  - Montaje,CO2,BC,5 Kg,12/2020,3/2021,,,,1001,1684,2018,Horizonte,En planta,,#N/A,#N/A,Cassaro
468506,458,LOTE 98,,Montaje,Deposito de combustibles  - Montaje,AFFF,AB,10 Lts,12/2020,12/2020,,,,1002,468789,2018,Melisan,En recarga,468506,#N/A,#N/A,Cassaro
468308,459,LOTE 98,,Montaje,Deposito de combustibles  - Montaje,AFFF,AB,10 Lts,12/2020,12/2020,,,,1003,468741,2018,Melisan,En recarga,468308,#N/A,#N/A,Cassaro
300225,460,LOTE 98,,Montaje,Deposito de combustibles  - Montaje,AFFF,AB,10 Lts,12/2020,12/2020,,,,1004,468819,2018,Melisan,En recarga,300225,#N/A,#N/A,Cassaro
300485,461,LOTE 98,,Montaje,Deposito de combustibles  - Montaje,AFFF,AB,10 Lts,12/2020,12/2020,,,,1005,468740,2018,Melisan,En recarga,300485,#N/A,#N/A,Cassaro
300432,462,LOTE 98,,Montaje,Deposito de combustibles  - Montaje,AFFF,AB,10 Lts,11/2020,11/2020,,,,1006,468813,2018,Melisan,En recarga,300432,#N/A,#N/A,Cassaro
300375,463,LOTE 98,,Montaje,Deposito de combustibles  - Montaje,AFFF,AB,10 Lts,11/2020,11/2020,,,,1007,468780,2018,Melisan,En recarga,300375,#N/A,#N/A,Cassaro
,464,LOTE 98,,Montaje,Deposito de combustibles  - Montaje,POLVO,ABC,5 Kg,3/2021,3/2025,,,,1008,4439,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,465,LOTE 98,,Montaje,Deposito de combustibles  - Montaje,POLVO,ABC,5 Kg,3/2021,3/2021,,,,1009,55075,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
657773,466,LOTE 98,,Montaje,Foza Pista de Prueba,POLVO,ABC,10 Kg,10/2020,10/2023,,,,1042,625317,1018,Cassaro,En recarga,657773,#N/A,#N/A,Cassaro
,467,LOTE 98,,Montaje,Pista de Pruebas,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1043,6404,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,468,LOTE 98,,Montaje,Pista de Pruebas,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1044,5922,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,469,LOTE 98,,Montaje,Pista de Pruebas,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1045,4669,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,470,LOTE 98,,Montaje,Pista de Pruebas,POLVO,ABC,5 Kg,6/2021,6/2023,,,,1046,2757,2011,Cassaro,En planta,,#N/A,#N/A,Cassaro
,471,LOTE 98,,Seguridad Patrimonial,Guardia Pto. N° 6  reserva,POLVO,ABC,5 Kg,3/2021,3/2024,,,,1011,1021,2010,Horizonte,En planta,,#N/A,#N/A,Cassaro
,472,LOTE 98,,Seguridad Patrimonial,Guardia Pto. N° 6,CO2,BC,3.5 Kg,7/2021,7/2025,,,,1012,857137,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
2566,473,LOTE 98,,Comedor sur,Comedor Sur,POLVO,ABC,5 Kg,10/2020,10/2021,,,,1013,656201,2018,Cassaro,En recarga,2566,#N/A,#N/A,Cassaro
,474,LOTE 98,,Comedor sur,Comedor Sur,POLVO,ABC,5 Kg,10/2020,10/2023,,,,1014,656193,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
4223,475,LOTE 98,,Comedor sur,Comedor Sur,POLVO,ABC,10 Kg,12/2020,12/2024,,,,1015,657779,2018,Cassaro,En recarga,4223,#N/A,#N/A,Cassaro
426,476,LOTE 98,,Comedor sur,Comedor Sur,POLVO,ABC,5 Kg,10/2020,10/2020,,,,1016,656266,2018,Cassaro,En recarga,426,#N/A,#N/A,Cassaro
5002,477,LOTE 98,,Comedor sur,Comedor Sur,POLVO,ABC,5 Kg,10/2020,10/2023,,,,1017,656150,2018,Cassaro,En recarga,5002,#N/A,#N/A,Cassaro
,478,LOTE 98,,Comedor sur,Comedor Sur,POLVO,ABC,5 Kg,10/2020,10/2023,,,,1018,648032,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,479,LOTE 98,,Instalaciones Generales,Caldera,POLVO,ABC,10 Kg,3/2021,3/2025,,,,1025,2142,2010,Horizonte,En planta,,#N/A,#N/A,Cassaro
,480,LOTE 98,,Instalaciones Generales,Caldera,CO2,BC,5 Kg,3/2021,3/2021,,,,1026,1368,2001,Horizonte,En planta,,#N/A,#N/A,Cassaro
,481,LOTE 98,,Ingenieria. de Producto,Product Development,CO2,BC,3.5 Kg,7/2021,7/2021,,,,1027,106069,2018,Yukon,En planta,,#N/A,#N/A,Cassaro
,482,LOTE 98,,Ingenieria. de Producto,Product Development,CO2,BC,3.5 Kg,7/2021,7/2021,,,,1028,106180,1996,Cassaro,En planta,,#N/A,#N/A,Cassaro
,483,LOTE 98,,Supply Chain,Suplpy Chain,CO2,BC,3.5 Kg,7/2021,7/2021,,,,1029,106064,1996,Yukon,En planta,,#N/A,#N/A,Cassaro
,484,LOTE 98,,Supply Chain,Suppy Chain,CO2,BC,3.5 Kg,7/2021,7/2021,,,,1030,106190,1996,Yukon,En planta,,#N/A,#N/A,Cassaro
,485,LOTE 98,,Supply Chain,Supply Chain,CO2,BC,3.5 Kg,7/2021,7/2021,,,,1031,106129,1996,Yukon,En planta,,#N/A,#N/A,Cassaro
676114,486,LOTE 98,,Supply Chain,Supply Chain oficina,POLVO,ABC,10 Kg,9/2020,9/2023,,,,1032,676135,2018,Cassaro,En recarga,676114,#N/A,#N/A,Cassaro
,487,LOTE 98,,Supply Chain,Supply Chain Archivo,POLVO,ABC,10 Kg,9/2020,9/2023,,,,1033,657892,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,488,LOTE 98,,Supply Chain,Supply Chain Direccion,HALON,ABC,5 Kg,10/2020,10/2021,,,,1034,4614,2011,Horizonte,En planta,,#N/A,#N/A,Cassaro
,489,LOTE 98,,Seguridad Patrimonial,Guardia Pto. N° 7,POLVO,ABC,10 Kg,9/2020,9/2023,,,,1037,1789,2010,Cassaro,En planta,,#N/A,#N/A,Cassaro
,490,LOTE 98,,Seguridad Patrimonial,Guardia Pto. N° 7,CO2,BC,3.5 Kg,8/2020,8/2023,,,,1038,106176,1996,Yukon,En planta,,#N/A,#N/A,Cassaro
4605,491,LOTE 98,,Seguridad Patrimonial,Playa Pto. N° 7,POLVO,ABC,5 Kg,7/2021,7/2023,,,,583,760504,2018,Cassaro,En recarga,4605,#N/A,#N/A,Cassaro
4477,492,LOTE 98,,Seguridad Patrimonial,Playa Pto. N° 7,POLVO,ABC,5 Kg,7/2021,7/2023,,,,584,656196,2018,Cassaro,En recarga,4477,#N/A,#N/A,Cassaro
2076,493,LOTE 98,,Seguridad Patrimonial,Playa Pto. N° 7,POLVO,ABC,5 Kg,7/2021,7/2023,,,,585,669272,2018,Cassaro,En recarga,2076,#N/A,#N/A,Cassaro
4822,494,LOTE 98,,Seguridad Patrimonial,Playa Pto. N° 7,POLVO,ABC,5 Kg,7/2021,7/2023,,,,586,657155,2018,Cassaro,En recarga,4822,#N/A,#N/A,Cassaro
6772,495,LOTE 98,,Seguridad Patrimonial,Playa Pto. N° 7,POLVO,ABC,5 Kg,7/2021,7/2023,,,,587,657404,2018,Cassaro,En recarga,6772,#N/A,#N/A,Cassaro
865,496,LOTE 98,,Seguridad Patrimonial,Playa Pto. N° 7,POLVO,ABC,5 Kg,7/2021,7/2023,,,,588,669367,2018,Cassaro,En recarga,865,#N/A,#N/A,Cassaro
,497,LOTE 98,,Instalaciones Generales,Depositos de GLP,POLVO,ABC,10 Kg,10/2020,10/2024,,,,1051,239667,2008,Cassaro,En planta,,#N/A,#N/A,Cassaro
240367,498,LOTE 98,,Instalaciones Generales,Depositos de GLP,POLVO,ABC,10 Kg,10/2023,10/2023,,,,1052,239917,2008,Cassaro,En recarga,240367,#N/A,#N/A,Cassaro
624811,499,LOTE 98,,Instalaciones Generales,Depositos de GLP,POLVO,ABC,10 Kg,10/2023,10/2023,,,,1053,239947,2008,Cassaro,En recarga,624811,#N/A,#N/A,Cassaro
,500,LOTE 98,,Instalaciones Generales,Playa Elta alero Norte Montaje,POLVO,ABC,10 Kg,10/2020,10/2023,,,,1054,240300,2008,Cassaro,En planta,,#N/A,#N/A,Cassaro
,501,LOTE 98,,Instalaciones Generales,Playa Elta alero Norte Montaje,POLVO,ABC,10 Kg,10/2020,10/2023,,,,1055,240308,2008,Cassaro,En planta,,#N/A,#N/A,Cassaro
676735,502,LOTE 98,,Instalaciones Generales,Playa Elta alero Norte Montaje,POLVO,ABC,10 Kg,10/2020,10/2023,,,,1056,240322,2008,Cassaro,En recarga,676735,#N/A,#N/A,Cassaro
,503,LOTE 98,,EHS,Central Hidrica Sur,CO2,BC,5 Kg,7/2021,7/2025,,,,1039,105972,1996,Yukon,En planta,,#N/A,#N/A,Cassaro
1446,504,LOTE 98,,Instalaciones Generales,Sala de bombas de Hidrica Sur reserva,CO2,BC,5 Kg,11/2020,11/2024,,,,1040,1803,2011,Horizonte,En recarga,1446,#N/A,#N/A,Cassaro
,505,LOTE 98,,Instalaciones Generales,Sala de combustible hidrica sur,POLVO,ABC,5 Kg,9/2020,9/2023,,,,1047,760473,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,506,LOTE 42,,CARGO,Magazzino - Alero este porton n° 1 - 2,AFFF,AB,25 Lts,7/2021,7/2022,,,,591,52109,2018,Melisan,En planta,,#N/A,#N/A,
,507,LOTE 42,,CARGO,Magazzino - Alero este porton n° 3 - 4,AFFF,AB,25 Lts,7/2021,7/2022,,,,592,52110,2018,Melisan,En planta,,#N/A,#N/A,
,508,LOTE 42,,CARGO,Magazzino - Porton n° 5,POLVO,ABC,10 Kg,7/2021,7/2025,,,,593,139273,2015,Melisan,En planta,,#N/A,#N/A,
,509,LOTE 42,,CARGO,Magazzino - Porton n° 9,POLVO,ABC,10 Kg,10/2020,10/2021,,,,594,2034,2010,Horizonte,En planta,,#N/A,#N/A,
,510,LOTE 42,,CARGO,Magazzino - Porton n° 10 - 11,POLVO,ABC,5 Kg,7/2020,7/2023,,,,595,148667,2015,Horizonte,En planta,,#N/A,#N/A,
,511,LOTE 42,,CARGO,Magazzino - Porton n° 12,POLVO,ABC,5 Kg,7/2021,7/2025,,,,596,148777,2015,Horizonte,En planta,,#N/A,#N/A,
,512,LOTE 42,,CARGO,Magazzino - Porton n° 13,POLVO,ABC,10 Kg,7/2021,7/2025,,,,597,52088,2015,Horizonte,En planta,,#N/A,#N/A,
,513,LOTE 42,,CARGO,Magazzino Porton n° 15,POLVO,ABC,5 Kg,5/2021,5/2025,,,,598,148772,2015,Horizonte,En planta,,#N/A,#N/A,
,514,LOTE 42,,CARGO,Magazzino - Alero Oeste,AFFF,AB,25 Lts,7/2021,7/2022,,,,599,52180,2018,Melisan,En planta,,#N/A,#N/A,
,515,LOTE 42,,CARGO,Magazzino - Alero Oeste,AFFF,AB,25 Lts,7/2021,7/2022,,,,600,52179,2018,Melisan,En planta,,#N/A,#N/A,
,516,LOTE 42,,CARGO,Mnagazzino - Oficina Central,POLVO,ABC,5 Kg,7/2021,7/2025,,,,601,148797,2015,Horizonte,En planta,,#N/A,#N/A,
,517,LOTE 42,,CARGO,Magazzino - EKA 1 - Sprinkler's,POLVO,ABC,10 Kg,7/2021,7/2025,,,,602,152262,2015,Horizonte,En planta,,#N/A,#N/A,
,518,LOTE 42,,CARGO,Magazzino - Sub Estacion,CO2,BC,10 Kg,12/2020,12/2023,,,,603,859795,2018,Drago,En planta,,#N/A,#N/A,
,519,LOTE 42,,CARGO,Magazzino - Sub Estacion,CO2,BC,10 Kg,12/2020,12/2023,,,,604,858753,2018,Drago,En planta,,#N/A,#N/A,
,520,LOTE 42,,CARGO,Magazzino - 1° tramo estante - E,POLVO,ABC,2.5 Kg,7/2021,7/2025,,,,605,101374,2015,Horizonte,En planta,,#N/A,#N/A,
,521,LOTE 42,,CARGO,Magazzino - 1° tramo estante - FG,POLVO,ABC,10 Kg,7/2021,7/2025,,,,606,140164,2015,Horizonte,En planta,,#N/A,#N/A,
400,522,LOTE 42,,CARGO,Magazzino - 1° tramo estante - HI,POLVO,ABC,10 Kg,7/2021,7/2025,,,,607,139369,2015,Horizonte,En recarga,400,#N/A,#N/A,
,523,LOTE 42,,CARGO,Magazzino - 1° tramo estante -A,POLVO,ABC,2.5 Kg,7/2021,7/2025,,,,608,152326,2015,Horizonte,En planta,,#N/A,#N/A,
,524,LOTE 42,,CARGO,Magazzino - 1° tramo estante - NO,POLVO,ABC,10 Kg,7/2021,7/2025,,,,614,152326,2015,Horizonte,En planta,,#N/A,#N/A,
,525,LOTE 42,,CARGO,Magazzino - 1° tramo estante - PQ,POLVO,ABC,10 Kg,7/2021,7/2025,,,,609,50069,2015,Horizonte,En planta,,#N/A,#N/A,
,526,LOTE 42,,CARGO,Magazzino - 1° tramo estante - U,POLVO,ABC,10 Kg,7/2021,7/2025,,,,610,152271,2015,Horizonte,En planta,,#N/A,#N/A,
,527,LOTE 42,,CARGO,Magazzino - 1° tramo estante - TS,POLVO,ABC,5 Kg,7/2021,7/2025,,,,611,148778,2015,Horizonte,En planta,,#N/A,#N/A,
,528,LOTE 42,,CARGO,Magazzino - 1° tramo estante - LK,POLVO,ABC,2.5 Kg,7/2021,7/2025,,,,612,101319,2015,Horizonte,En planta,,#N/A,#N/A,
,529,LOTE 42,,CARGO,Magazzino - 1° tramo estante - GF,POLVO,ABC,10 Kg,7/2021,7/2025,,,,613,152307,2015,Horizonte,En planta,,#N/A,#N/A,
,530,LOTE 42,,CARGO,Magazzino - 1° tramo estante - A,POLVO,ABC,2.5 Kg,3/2021,3/2021,,,,608,101142,2015,Horizonte,En planta,,#N/A,#N/A,
,531,LOTE 42,,CARGO,Magazzino - 2° tramo estante - HI,POLVO,ABC,10 Kg,7/2021,7/2025,,,,615,152306,2015,Horizonte,En planta,,#N/A,#N/A,
,532,LOTE 42,,CARGO,Magazzino - 2° tramo estante - ST,POLVO,ABC,10 Kg,7/2021,7/2025,,,,616,152286,2015,Horizonte,En planta,,#N/A,#N/A,
,533,LOTE 42,,CARGO,Magazzino - 2° tramo estante - Y,POLVO,ABC,5 Kg,7/2021,7/2025,,,,617,2080,2011,Horizonte,En planta,,#N/A,#N/A,
,534,LOTE 42,,CARGO,Magazzino - 2° tramo estante - W,POLVO,ABC,2.5 Kg,7/2021,7/2025,,,,618,100950,2015,Horizonte,En planta,,#N/A,#N/A,
,535,LOTE 42,,CARGO,Magazzino - 2° tramo estante - QP,POLVO,ABC,5 Kg,7/2021,7/2025,,,,619,148455,2015,Horizonte,En planta,,#N/A,#N/A,
,536,LOTE 42,,CARGO,Magazzino - 2° tramo estante - GF,POLVO,ABC,5 Kg,7/2021,7/2025,,,,620,148499,2015,Horizonte,En planta,,#N/A,#N/A,
140139,537,LOTE 42,,CARGO,Magazzino - 3° tramo estante - HI,POLVO,ABC,10 Kg,3/2021,3/2025,,,,622,139506,2018,Horizonte,En recarga,140139,#N/A,#N/A,
,538,LOTE 42,,CARGO,Magazzino - 3° tramo estante - PQ,POLVO,ABC,10 Kg,10/2020,10/2024,,,,623,140139,2010,Horizonte,En planta,,#N/A,#N/A,
,539,LOTE 42,,CARGO,Magazzino - 3° tramo estante - UV,POLVO,ABC,5 Kg,7/2021,7/2025,,,,624,148615,2015,Horizonte,En planta,,#N/A,#N/A,
624916,540,LOTE 42,,CARGO,Magazzino - 3° tramo estante - GF,POLVO,ABC,5 Kg,7/2021,7/2025,,,,625,648671,2015,Horizonte,En recarga,624916,#N/A,#N/A,
4920,541,LOTE 42,,CARGO,Magazzino - 3° tramo estante - LK,POLVO,ABC,10 Kg,10/2020,10/2023,,,,626,152257,2015,Horizonte,En recarga,4920,#N/A,#N/A,
453,542,LOTE 42,,CARGO,Magazzino - 3° tramo estante - QP,POLVO,ABC,2.5 Kg,10/2020,10/2020,,,,627,106381,2015,Horizonte,En recarga,453,#N/A,#N/A,
,543,LOTE 42,,CARGO,Magazzino - 3° tramo estante - XW,POLVO,ABC,5 Kg,10/2020,10/2023,,,,628,760020,2015,Horizonte,En planta,,#N/A,#N/A,
,544,LOTE 42,,CARGO,Pulmón de madera,POLVO,ABC,5 Kg,6/2021,6/2023,,,,641,673685,2018,Horizonte,En planta,,#N/A,#N/A,
,545,LOTE 42,,CARGO,Pulmón de madera,POLVO,ABC,5 Kg,6/2021,6/2023,,,,642,673761,2018,Horizonte,En planta,,#N/A,#N/A,
,546,LOTE 42,,CARGO,Pulmón de madera,POLVO,ABC,5 Kg,6/2021,6/2023,,,,643,673652,2018,Horizonte,En planta,,#N/A,#N/A,
,547,LOTE 42,,CARGO,Pulmón de madera,POLVO,ABC,5 Kg,6/2021,6/2023,,,,644,673997,2018,Cassaro,En planta,,#N/A,#N/A,
,548,LOTE 42,,CARGO,Prensadora,AFFF,AB,10 Lts,12/2020,12/2020,,,,645,468122,2018,Cassaro,En planta,,#N/A,#N/A,
,549,LOTE 42,,Seguridad. Patrimonnial,Gdia. Pto n° 2 interno,CO2,BC,3.5 Kg,3/2021,3/2025,,,,652,2445,2009,Horizonte,En planta,,#N/A,#N/A,
,550,LOTE 42,,Seguridad. Patrimonnial,Gdia. Pto. n° 2 externo,POLVO,ABC,10 Kg,7/2020,7/2023,,,,653,625296,2018,Cassaro,En planta,,#N/A,#N/A,
,551,LOTE 42,,Seguridad. Patrimonnial,Ufo Pto. n° 2 interno,CO2,BC,3.5 Kg,3/2021,3/2025,,,,654,2572,2009,Horizonte,En planta,,#N/A,#N/A,
,552,LOTE 42,,Aduana,Aduana Pasllo,CO2,BC,3.5 Kg,3/2021,3/2025,,,,655,2292,2009,Horizonte,En planta,,#N/A,#N/A,
,553,LOTE 42,,Aduana,Aduana - Pasillo,POLVO,ABC,5 Kg,7/2021,7/2023,,,,656,647539,2018,Cassaro,En planta,,#N/A,#N/A,
,554,LOTE 42,,Aduana,Aduana - Galpon,AFFF,AB,10 Lts,12/2020,12/2020,,,,657,468269,2018,Melisan,En planta,,#N/A,#N/A,
,555,LOTE 42,,Aduana,Aduana - Galpon,POLVO,ABC,5 Kg,7/2021,6/2023,,,,658,647321,2018,Cassaro,En planta,,#N/A,#N/A,
,556,LOTE 42,,Aduana,Aduana - Galpon,POLVO,ABC,5 Kg,7/2021,6/2023,,,,659,647206,2018,Cassaro,En planta,,#N/A,#N/A,
,557,LOTE 42,,Aduana,Aduana - Galpon,AFFF,AB,10 Lts,12/2020,12/2020,,,,660,468161,2018,Melisan,En planta,,#N/A,#N/A,
,558,LOTE 42,,Aduana,Playa Fiscal - Alero Galpon,POLVO,ABC,10 Kg,12/2020,12/2023,,,,664,221826,2017,Cassaro,En planta,,#N/A,#N/A,
,559,LOTE 42,,Aduana,Playa Fiscal Poste n° 1,POLVO,ABC,10 Kg,12/2020,12/2023,,,,665,987246,2017,Cassaro,En planta,,#N/A,#N/A,
,560,LOTE 42,,Aduana,Playa Fiscal Poste n° 2,POLVO,ABC,10 Kg,12/2020,12/2023,,,,666,221792,2017,Cassaro,En planta,,#N/A,#N/A,
,561,LOTE 42,,Aduana,Playa Fiscal Poste n° 3,POLVO,ABC,10 Kg,12/2020,12/2023,,,,667,221828,2017,Cassaro,En planta,,#N/A,#N/A,
,562,LOTE 42,,Aduana,Playa Fiscal Poste n° 4,POLVO,ABC,10 Kg,12/2020,12/2023,,,,668,221841,2017,Cassaro,En planta,,#N/A,#N/A,
,563,LOTE 42,,Aduana,Playa Fiscal Poste n° 5,POLVO,ABC,10 Kg,12/2020,12/2023,,,,669,221799,2017,Cassaro,En planta,,#N/A,#N/A,
,564,LOTE 42,,Aduana,Playa Fiscal Poste n° 6,POLVO,ABC,10 Kg,12/2020,12/2023,,,,670,151918,2017,Cassaro,En planta,,#N/A,#N/A,
,565,LOTE 42,,Aduana,Playa Fiscal Poste n° 7,POLVO,ABC,10 Kg,12/2020,12/2023,,,,671,221809,2017,Cassaro,En planta,,#N/A,#N/A,
,566,LOTE 42,,Aduana,Playa Fiscal Poste n° 8,POLVO,ABC,10 Kg,12/2020,12/2023,,,,672,221771,2017,Cassaro,En planta,,#N/A,#N/A,
,567,LOTE 42,,Aduana,Playa Fiscal Poste n° 9,POLVO,ABC,10 Kg,12/2020,12/2023,,,,673,186607,2017,Cassaro,En planta,,#N/A,#N/A,
,568,LOTE 42,,Aduana,Playa Fiscal Poste n° 10,POLVO,ABC,10 Kg,12/2020,12/2023,,,,674,221795,2017,Cassaro,En planta,,#N/A,#N/A,
,569,LOTE 42,,Aduana,Playa Fiscal Poste n° 11,POLVO,ABC,10 Kg,12/2020,12/2023,,,,675,221820,2017,Cassaro,En planta,,#N/A,#N/A,
,570,LOTE 42,,Aduana,Playa Fiscal Poste n° 12,POLVO,ABC,10 Kg,12/2020,12/2023,,,,676,221783,2017,Cassaro,En planta,,#N/A,#N/A,
,571,LOTE 42,,Aduana,Playa Fiscal Poste n° 13,POLVO,ABC,10 Kg,12/2020,12/2023,,,,677,221853,2017,Cassaro,En planta,,#N/A,#N/A,
,572,LOTE 42,,Aduana,Playa Fiscal Poste n° 14,POLVO,ABC,10 Kg,12/2020,12/2023,,,,678,221817,2017,Cassaro,En planta,,#N/A,#N/A,
,573,LOTE 42,,Aduana,Playa Fiscal Poste n° 15,POLVO,ABC,10 Kg,12/2020,12/2023,,,,679,221779,2017,Cassaro,En planta,,#N/A,#N/A,
,574,LOTE 42,,Aduana,Playa Fiscal Poste n° 16,POLVO,ABC,10 Kg,12/2020,12/2023,,,,680,221821,2017,Cassaro,En planta,,#N/A,#N/A,
,575,LOTE 42,,Aduana,Playa Fiscal Poste n° 17,POLVO,ABC,10 Kg,12/2020,12/2023,,,,681,221875,2017,Cassaro,En planta,,#N/A,#N/A,
,576,LOTE 42,,Aduana,Playa Fiscal Poste n° 18,POLVO,ABC,10 Kg,12/2020,12/2023,,,,682,221819,2017,Cassaro,En planta,,#N/A,#N/A,
,577,LOTE 42,,Aduana,Playa Fiscal Poste n° 19,POLVO,ABC,10 Kg,12/2020,12/2023,,,,683,221403,2017,Cassaro,En planta,,#N/A,#N/A,
,578,LOTE 42,,Aduana,Playa Fiscal Poste n° 20,POLVO,ABC,10 Kg,12/2020,12/2023,,,,684,221824,2017,Cassaro,En planta,,#N/A,#N/A,
,579,LOTE 42,,Aduana,Playa Fiscal Poste n° 21,POLVO,ABC,10 Kg,12/2020,12/2023,,,,685,25894,2017,Cassaro,En planta,,#N/A,#N/A,
,580,LOTE 42,,Aduana,Playa Fiscal Poste n° 22,POLVO,ABC,10 Kg,5/2021,5/2022,,,,686,221762,2017,Cassaro,En planta,,#N/A,#N/A,
,581,LOTE 42,,Aduana,Playa Fiscal Poste n° 23,POLVO,ABC,10 Kg,12/2020,12/2023,,,,687,186627,2017,Cassaro,En planta,,#N/A,#N/A,
,582,LOTE 42,,Aduana,Playa Fiscal Poste n° 24,POLVO,ABC,10 Kg,12/2020,12/2023,,,,688,221787,2017,Cassaro,En planta,,#N/A,#N/A,
,583,LOTE 42,,Aduana,Playa Fiscal Poste n° 25,POLVO,ABC,10 Kg,12/2020,12/2023,,,,689,221798,2017,Cassaro,En planta,,#N/A,#N/A,
,584,LOTE 42,,Aduana,Playa Fiscal Poste n° 26,POLVO,ABC,10 Kg,12/2020,12/2023,,,,690,221840,2017,Cassaro,En planta,,#N/A,#N/A,
,585,LOTE 42,,Aduana,Playa Fiscal Poste n° 27,POLVO,ABC,10 Kg,12/2020,12/2023,,,,691,186795,2017,Cassaro,En planta,,#N/A,#N/A,
,586,LOTE 42,,Aduana,Playa Fiscal Poste n° 28,POLVO,ABC,10 Kg,12/2020,12/2023,,,,692,221838,2017,Cassaro,En planta,,#N/A,#N/A,
,587,LOTE 42,,Aduana,Playa Fiscal Poste n° 29,POLVO,ABC,10 Kg,12/2020,12/2023,,,,693,186562,2017,Cassaro,En planta,,#N/A,#N/A,
,588,LOTE 42,,Aduana,Playa Fiscal Poste n° 30,POLVO,ABC,10 Kg,12/2020,12/2023,,,,694,186575,2017,Cassaro,En planta,,#N/A,#N/A,
,589,LOTE 42,,Aduana,Playa Fiscal Poste n° 31,POLVO,ABC,10 Kg,12/2020,12/2023,,,,695,221791,2017,Cassaro,En planta,,#N/A,#N/A,
,590,LOTE 42,,Aduana,Playa Fiscal Poste n° 32,POLVO,ABC,10 Kg,12/2020,12/2023,,,,696,221712,2017,Cassaro,En planta,,#N/A,#N/A,
,591,LOTE 42,,Aduana,Playa Fiscal Poste n° 33,POLVO,ABC,10 Kg,12/2020,12/2023,,,,697,221862,2017,Cassaro,En planta,,#N/A,#N/A,
