,,,,,,EXTINTORES DE PLANTA,,,,,,,,,,,,,,,,
,Orden,LOTE,RESPONSABLE,EDIFICO,UBICACIÓN,TIPO,CLASE,CAP.,VTO DE CARGA,VTO PH,BALIZA,CARTEL EN ALTURA,DEMARCACIÓN DE PISO,NRO INTERNO,NRO FABRICACIÓN,AÑO,MARCA,ESTADO,RESERVA,ORIGEN RESERVA,VENCIMIENTO DE LA RESERVA,EMPRESA DE MANTENIMIENTO
,88,LOTE 101,,Pintura,Nivel 00 - Col. A/11,CO2,BC,3.5 Kg,,8/2023,,,,304,855605,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,89,LOTE 101,,Pintura,Nivel 00 - Col. A/14,CO2,BC,3.5 Kg,,8/2023,,,,305,855606,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,90,LOTE 101,,Pintura,Nivel 00 - Col. A/18,CO2,BC,3.5 Kg,,8/2023,,,,306,855607,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,91,LOTE 101,,Pintura,Nivel 00 - Col. A/22,CO2,BC,3.5 Kg,,8/2023,,,,307,855609,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,92,LOTE 101,,Pintura,Nivel 00 - Col. B/21 Pared Este,CO2,BC,3.5 Kg,,8/2023,,,,308,855610,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,93,LOTE 101,,Pintura,Nivel 00 - Col. B/19 Pared Este,CO2,BC,3.5 Kg,,8/2023,,,,309,855611,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,94,LOTE 101,,Pintura,Nivel 00 - Col. B/16 Pared Este,CO2,BC,3.5 Kg,,8/2023,,,,310,855613,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,95,LOTE 101,,Pintura,Nivel 00 - Col. B/12-13 Pared Este,CO2,BC,3.5 Kg,,8/2023,,,,311,855615,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,96,LOTE 101,,Pintura,Nivel 00 - Col. B/10 Pared Este,CO2,BC,3.5 Kg,,8/2023,,,,312,855618,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,97,LOTE 101,,Pintura,Nivel 00 - Col. B/06 Pared Este,CO2,BC,3.5 Kg,,8/2023,,,,313,855623,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,98,LOTE 101,,Pintura,Nivel 00 - Col. B/03 Pared Este,CO2,BC,3.5 Kg,,8/2023,,,,314,855624,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,99,LOTE 101,,Pintura,Nivel 00 - Col. B/03 Pared Oeste,POLVO,ABC,10 Kg,9/2020,9/2023,,,,315,625394,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,100,LOTE 101,,Pintura,Nivel 00 - Col. B/05 Pared Oeste,POLVO,ABC,10 Kg,9/2020,9/2023,,,,316,625586,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,101,LOTE 101,,Pintura,Nivel 00 - Col. B/09 Pared Oeste,POLVO,ABC,10 Kg,9/2020,9/2023,,,,317,625490,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,102,LOTE 101,,Pintura,Nivel 00 - Col. B/15 Pared Oeste,POLVO,ABC,10 Kg,3/2021,3/2023,,,,318,625345,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,103,LOTE 101,,Pintura,Nivel 00 - Col. B/18 Pared Oeste,POLVO,ABC,10 Kg,,9/2023,,,,319,625383,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,104,LOTE 101,,Pintura,Nivel 00 - Col. B/21 Pared Oeste,POLVO,ABC,10 Kg,9/2020,9/2023,,,,320,625498,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,105,LOTE 101,,Pintura,Nivel 00 - Col. C-B/10,POLVO,ABC,10 Kg,9/2020,9/2023,,,,321,625246,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,106,LOTE 101,,Pintura,Nivel 00 - Col. C-B/07,POLVO,ABC,10 Kg,9/2020,9/2023,,,,322,625372,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,107,LOTE 101,,Pintura,Nivel 00 - Col. C-B/04,POLVO,ABC,10 Kg,9/2020,9/2023,,,,323,657658,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,108,LOTE 101,,Pintura,Nivel 00 - Col. B1/02,POLVO,ABC,25 Kg,7/2021,7/2023,,,,324,52165,2018,Melisam,En planta,,#N/A,#N/A,Cassaro
,109,LOTE 101,,Pintura,Nivel 00 - Col. C/01,POLVO,ABC,10 Kg,,9/2023,,,,325,625227,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,110,LOTE 101,,Pintura,Nivel 00 - Col. C-D/03,POLVO,ABC,10 Kg,9/2020,9/2023,,,,326,657612,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,111,LOTE 101,,Pintura,Nivel 00 - Col. C-D/06,POLVO,ABC,10 Kg,9/2020,9/2023,,,,327,625294,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,112,LOTE 101,,Pintura,Nivel 00 - Col. C-D/09,POLVO,ABC,10 Kg,9/2020,9/2023,,,,328,625222,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,113,LOTE 101,,Pintura,Nivel 00 - Col. C/13,POLVO,ABC,10 Kg,9/2020,9/2023,,,,329,625233,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,114,LOTE 101,,Pintura,Nivel 00 - Col. C/16,POLVO,ABC,10 Kg,9/2020,9/2023,,,,330,625492,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,115,LOTE 101,,Pintura,Nivel 00 - Col. C/19,POLVO,ABC,10 Kg,9/2020,9/2023,,,,331,625250,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,116,LOTE 101,,Pintura,Nivel 00 - Col. C/21,POLVO,ABC,10 Kg,9/2020,9/2023,,,,332,625567,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,117,LOTE 101,,Pintura,Nivel 00 - Col. C-D/23,POLVO,ABC,10 Kg,9/2020,9/2023,,,,333,625491,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,118,LOTE 101,,Pintura,Nivel 00 - Col. D/21,POLVO,ABC,10 Kg,9/2020,9/2023,,,,334,625457,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,119,LOTE 101,,Pintura,Nivel 00 - Col. D/18,POLVO,ABC,10 Kg,5/2021,5/2023,,,,335,625336,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,120,LOTE 101,,Pintura,Nivel 00 - Col. D/11,POLVO,ABC,10 Kg,9/2020,9/2023,,,,336,625384,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,121,LOTE 101,,Pintura,Nivel 00 - Col. D-E/04,POLVO,ABC,10 Kg,9/2020,9/2023,,,,337,625328,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,122,LOTE 101,,Pintura,Nivel 00 - Box Retoque,POLVO,ABC,10 Kg,9/2020,9/2023,,,,338,625580,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,123,LOTE 101,,Pintura,Nivel 00 - Box Retoque,POLVO,ABC,10 Kg,9/2020,9/2023,,,,339,625405,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,124,LOTE 101,,Pintura,Nivel 00 - Col. E/23,POLVO,ABC,10 Kg,9/2020,9/2023,,,,340,625428,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,125,LOTE 101,,Pintura,Nivel 00 - Col. E/20,POLVO,ABC,10 Kg,9/2020,9/2023,,,,341,625523,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,126,LOTE 101,,Pintura,Nivel 00 - Col. E/17,POLVO,ABC,10 Kg,9/2020,9/2023,,,,342,625274,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,127,LOTE 101,,Pintura,Nivel 00 - Col. E/13,POLVO,ABC,10 Kg,9/2020,9/2023,,,,343,625890,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,128,LOTE 101,,Pintura,Nivel 00 - Col. E/11,POLVO,ABC,10 Kg,9/2020,9/2023,,,,344,625577,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,129,LOTE 101,,Pintura,Nivel 00 - Box Mtto. E/06-07,POLVO,ABC,5 Kg,10/2020,10/2023,,,,346,647646,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,130,LOTE 101,,Pintura,Nivel 00 - Col. E/01,POLVO,ABC,10 Kg,9/2020,9/2023,,,,347,624785,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,131,LOTE 101,,Pintura,Nivel 5400 Col A/4,CO2,BC,10 Kg,12/2020,12/2023,,,,348,858291,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,132,LOTE 101,,Pintura,Nivel 5400 Col. A/11,CO2,BC,5 Kg,,8/2023,,,,349,855705,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,133,LOTE 101,,Pintura,Nivel 5400 Col. A/18,CO2,BC,10 Kg,11/2020,11/2023,,,,350,856967,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,134,LOTE 101,,Pintura,Nivel 9000  Cuba 2-3,CO2,BC,5 Kg,,8/2023,,,,351,855755,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,135,LOTE 101,,Pintura,Nivel 9000 Cuba 5-6,CO2,BC,5 Kg,,8/2023,,,,352,855785,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,136,LOTE 101,,Pintura,Nivel 9000 Cuba de Cataforesis,CO2,BC,10 Kg,11/2020,11/2023,,,,353,856965,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,137,LOTE 101,,Pintura,Nivel 9000 Cuba 6-7,CO2,BC,5 Kg,,8/2023,,,,354,855723,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,138,LOTE 101,,Pintura,Nivel 5400 Col. A/14,CO2,BC,10 Kg,11/2020,11/2023,,,,355,856963,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,139,LOTE 101,,Pintura,Nivel 5400 Col. A/8,CO2,BC,10 Kg,11/2020,11/2023,,,,356,858291,2018,Drago,En planta,,#N/A,#N/A,Cassaro
,140,LOTE 101,,Pintura,Nivel 00 - Col. B/12 Pared Oeste,POLVO,ABC,10 Kg,9/2020,9/2023,,,,357,625488,2018,Cassaro,En planta,,#N/A,#N/A,Cassaro
,141,LOTE 101,,Pintura,Nivel 14000 Col. C/8-9,CO2,BC,10 Kg,11/2020,11/2023,,,,358,857596,2018,Drago,En planta,,#N/A,#N/A,Cassaro
